    0:  1  4  c 19  5  8 16  2 12 15 18
    1:  1  4  c 19  5 12 16  2  8 15 18
    2:  1  4  c 19  5 15 16  2 12  8 18
    3:  1  4  c 19 18  5 16  2 12  8 15
    4:  1  4  c 19 18  8 16  2 12 15  5
    5:  1  4  c 19 18 12 16  2  8 15  5
    6:  1  4  c 19 18 15 16  2 12  8  5
    7:  1  4 12 19 18  5 16  2  8 15  c
    8:  1  4 16 19 18  5 15  2 12  8  c
    9:  1  c 12 19  2  5 16  4  8 15 18
   10:  1  c 12 19  5 15 16  4  8  2 18
   11:  1  c 12 19 18  5 16  2  8 15  4
   12:  1  c 12 19 18  5 16  4  8  2 15
   13:  1  c 12 19 18 15 16  4  8  2  5
   14:  1  c 16 19  2  5 15  4 12  8 18
   15:  1  c 16 19  5  8  4  2 12 15 18
   16:  1  c 16 19  5  8 15  4 12  2 18
   17:  1  c 16 19  5 12  4  2  8 15 18
   18:  1  c 16 19  5 12 15  4  8  2 18
   19:  1  c 16 19  5 15  4  2 12  8 18
   20:  1  c 16 19 18  5  4  2 12  8 15
   21:  1  c 16 19 18  5 15  2 12  8  4
   22:  1  c 16 19 18  8  4  2 12 15  5
   23:  1  c 16 19 18  8 15  4 12  2  5
   24:  1  c 16 19 18 12  4  2  8 15  5
   25:  1  c 16 19 18 12 15  4  8  2  5
   26:  1  c 16 19 18 15  4  2 12  8  5
   27:  1 12  c 19  2  5 16  4  8 15 18
   28:  1 12  c 19  5 15 16  4  8  2 18
   29:  1 12  c 19 18  5 16  2  8 15  4
   30:  1 12  c 19 18  5 16  4  8  2 15
   31:  1 12  c 19 18 15 16  4  8  2  5
   32:  1 12 16 19 18  5  4  2  8 15  c
   33:  1 12 16 19 18  5 15  4  8  2  c
   34:  1 18  c 19  2  5 16  4 12  8 15
   35:  1 18  c 19  2  8 16  4 12 15  5
   36:  1 18  c 19  2 12 16  4  8 15  5
   37:  1 18  c 19  2 15 16  4 12  8  5
   38:  1 18  c 19  5  8 16  2 12 15  4
   39:  1 18  c 19  5  8 16  4 12  2 15
   40:  1 18  c 19  5 12 16  2  8 15  4
   41:  1 18  c 19  5 12 16  4  8  2 15
   42:  1 18  c 19  5 15 16  2 12  8  4
   43:  1 18 12 19  2  5 16  4  8 15  c
   44:  1 18 12 19  5 15 16  4  8  2  c
   45:  1 18 16 19  2  5 15  4 12  8  c
